canteen name,place ID,address,lat,lng
can B,ChIJ-c0P3AoP2jERmgAasZYsPdM,"76 Nanyang Drive, N2.1, #02-03, Nanyang Technological University, Singapore 637331",1.346986,103.680168
can 2,ChIJ_4T7q6EP2jEROVd_kctPf3Y,"35 Students Walk, #01-01 NTU Canteen 2, Singapore 639548",1.348431,103.685482
can 4,ChIJQz1QBJ8P2jEReAbN70j_Olk,"10, Nanyang Drive, Singapore 637720",1.344188,103.685437
can A,ChIJUW3y9HUP2jER5yG3DC5l39Q,"50 Nanyang Ave, Singapore 639798",1.342327,103.682312
can X,111,2222,33,44
